threshold,nb_model,nb_treat_all,nb_treat_none
0.0,0.40354564942611226,0.40354564942611226,0
0.01,0.39756781269307717,0.397520858006174,0
0.02,0.3915540593850593,0.3913731116592982,0
0.03,0.38551335011045873,0.38509860765578585,0
0.04,0.3794226088781679,0.37869338481886694,0
0.05,0.37329205003220284,0.3721533151853813,0
0.06,0.36704307204635195,0.36547409513416196,0
0.07,0.36063038414164317,0.35865123594205617,0
0.08,0.35418226353966265,0.35168005372403505,0
0.09,0.34774806503136974,0.3445556587100135,0
0.1,0.34132521746824723,0.3372729438067914,0
0.11,0.3346419742669094,0.3298265723888902,0
0.12,0.3281196794528862,0.32221096525694576,0
0.13,0.3214346212114076,0.31442028669668076,0
0.14,0.3147255667947165,0.3064484295652468,0
0.15,0.30802478735390665,0.29828899932483793,0
0.16,0.3013316965202067,0.2899352969358479,0
0.17,0.294637033291721,0.28138030051338825,0
0.18,0.28795818731442624,0.2726166456416004,0
0.19,0.2817431390204865,0.2636366042297682,0
0.2,0.2752924998726751,0.25443206178264033,0
0.21,0.26866993809932416,0.24499449294444592,0
0.22,0.2626589675801882,0.2353149351616824,0
0.23,0.25632374505665456,0.2253839602936523,0
0.24,0.25057844464854323,0.21519164398172666,0
0.25,0.24470135766858192,0.20472753256814968,0
0.26,0.2388835407591513,0.19398060733258413,0
0.27,0.2335388014746721,0.18293924578919485,0
0.28,0.22789293601811256,0.17159117975848923,0
0.29,0.22300340148054165,0.15992344989593277,0
0.3,0.21797615023933758,0.14792235632301748,0
0.31,0.21264260800987622,0.13557340496538006,0
0.32,0.2075724369374387,0.1228612491560474,0
0.33,0.202705975822724,0.10976962600912271,0
0.34,0.1976839086241215,0.09628128700926092,0
0.35,0.19270676217750754,0.0823779221940188,0
0.36,0.18816585101605215,0.06804007722830041,0
0.37,0.18344705113108178,0.053247062581130544,0
0.38,0.1788689163558721,0.03797685391308431,0
0.39,0.1744134689410513,0.022205982665757795,0
0.4,0.16967693445008789,0.005909415710187049,0
0.41,0.16508879347613437,-0.010939577243877563,0
0.42,0.16075754365725145,-0.0283695699549788,0
0.43,0.15651938493209872,-0.04641114135769775,0
0.44,0.15253978322367967,-0.06509705459622811,0
0.45,0.148237256046667,-0.08446245558888676,0
0.46,0.14378172081787643,-0.1045450936553477,0
0.47,0.13900884407481753,-0.12538556712054294,0
0.48,0.13494544976652365,-0.14702759725747638,0
0.49,0.13042838429640385,-0.16951833445860331,0
0.5,0.12640809693355495,-0.19290870114777547,0
0.51,0.12150446081026596,-0.21725377668140355,0
0.52,0.1174255226877424,-0.24261323036226623,0
0.53,0.11273956648085284,-0.2690518097316762,0
0.54,0.10752657868201783,-0.2966398925519299,0
0.55,0.10297158161110415,-0.3254541123864174,0
0.56,0.09775895661821868,-0.3555780694861086,0
0.57,0.09202113129274062,-0.3871031408695066,0
0.58,0.08746940621208506,-0.42012940612830396,0
0.59,0.08320076681735228,-0.45476670871679914,0
0.6,0.0799484218665358,-0.49113587643471923,0
0.61,0.07603554268338071,-0.5293701296766352,0
0.62,0.07251886539803207,-0.5696167120365466,0
0.63,0.0690243263640244,-0.6120387853348317,0
0.64,0.06529989242980543,-0.6568176404830215,0
0.65,0.062127244141569324,-0.7041552873539652,0
0.66,0.05866338608893783,-0.7542775016879053,0
0.67,0.05510492618737249,-0.8074374259814783,0
0.68,0.05198788793562455,-0.8639198455433994,0
0.69,0.048896470794520405,-0.9240462921738317,0
0.7,0.04584620085840088,-0.9881811685796262,0
0.71,0.04237865464188034,-1.0567391399099575,0
0.72,0.039071858168731544,-1.130194109192456,0
0.73,0.03640444266789859,-1.2090901873106952,0
0.74,0.03388835089941195,-1.2940551945149525,0
0.75,0.03139135950514624,-1.385817402295551,0
0.76,0.029054755852698275,-1.4852264607245325,0
0.77,0.026422168089316203,-1.5932797851038598,0
0.78,0.024681656342481498,-1.7111561389722172,0
0.79,0.02234170546491423,-1.8402588122566086,0
0.8,0.02013121403073389,-1.9822717528694391,0
0.81,0.01760006940117362,-2.139233424073094,0
0.82,0.015346886869182598,-2.313635280966044,0
0.83,0.012929939202731357,-2.5085550033758115,0
0.84,0.010567961367329844,-2.727839691086798,0
0.85,0.00815341948208887,-2.976362337159251,0
0.86,0.006149954923701007,-3.260388218384912,0
0.87,0.0042695667999511355,-3.588110389029905,0
0.88,0.00483834375853655,-3.9704529214490645,0
0.89,0.008581483475340861,-4.422312277944434,0
0.9,0.008898848520485406,-4.964543505738878,0
0.91,0.007516538081443651,-5.627270561932088,0
0.92,0.006032882217581938,-6.455679382173601,0
0.93,0.004660419702344296,-7.520776436769831,0
0.94,0.0031082693236659043,-8.940905842898138,0
0.95,0.00195385747952385,-10.929087011477773,0
0.96,0.000898218841297695,-13.911358764347181,0
0.97,0.00026853965358384686,-18.881811685796244,0
0.98,3.7039952218461635e-05,-28.822717528694362,0
0.99,0.0,-58.645435057388724,0
1.0,0.0,0.0,0
