substance,n_test,auc
Alcohol,747355,0.785707305360634
Cannabis,252266,0.7539096969996215
Cocaine,112790,0.7711614210388896
Heroin,468111,0.7885828963056173
Methamphetamine,232861,0.7747212621309009
Other_opioids,136990,0.7874553814795662
